Thu, 02 Jun 2022 13:50:00 +0100 | emfcamp/timely_schedule | [{"start":"2022-06-02T14:00:00+01:00","venue":"Blacksmiths","event":{"type":"workshop","title":"Masterclass - Egg Spoon","speaker":"Blacksmiths","pronouns":null,"description":"Egg Spoon Masterclass\r\n\r\nSign up at https://www.eventbrite.co.uk/e/347210906167 - password EMFCAMP","link":"https://www.emfcamp.org/schedule/2022/477-masterclass-egg-spoon"}},{"start":"2022-06-02T14:00:00+01:00","venue":"Blacksmiths","event":{"type":"workshop","title":"Coppersmiths - Bowl making","speaker":"Coppersmiths","pronouns":null,"description":"Make a copper bowl\r\n\r\n16+ only\r\n\r\nMust book on https://www.eventbrite.co.uk/e/347925343067","link":"https://www.emfcamp.org/schedule/2022/509-coppersmiths-bowl-making"}}]
Thu, 02 Jun 2022 14:50:00 +0100 | emfcamp/timely_schedule | [{"start":"2022-06-02T15:00:00+01:00","venue":"Lounge","event":{"type":"workshop","title":"3D printed/open hardware laser tag","speaker":"Tony Goacher: Hacman","pronouns":null,"description":"We will be running daily free (as in beer) lastertag events near the lounge daily at 3pm for 1 hour using 3D printed lasertag equipment running on open hardware/software.\r\nThere will be multiple games during each period. Just turn up.\r\nAges 8+","link":"https://www.emfcamp.org/schedule/2022/462-3d-printed-open-hardware-laser-tag"}}]
Thu, 02 Jun 2022 18:50:00 +0100 | emfcamp/timely_schedule | [{"start":"2022-06-02T19:00:00+01:00","venue":"Workshop 4","event":{"type":"workshop","title":"Demo Compos","speaker":"FieldFX","pronouns":"","description":"Demo Compos","link":"https://www.emfcamp.org/schedule/2022/433-demo-compos"}}]
Thu, 02 Jun 2022 20:50:00 +0100 | emfcamp/timely_schedule | [{"start":"2022-06-02T21:00:00+01:00","venue":"Stage B","event":{"type":"performance","title":"Life Of Riley Ceilidh Dance","speaker":"Lucy Rogers","pronouns":"","description":"Life of Ceilidh - Celtic Country Dancing band. \r\nOpen to all.  Come open EMF's Music schedule on B Stage from 9pm. ","link":"https://www.emfcamp.org/schedule/2022/168-life-of-riley-ceilidh-dance"}}]
Fri, 03 Jun 2022 08:50:00 +0100 | emfcamp/timely_schedule | [{"start":"2022-06-03T09:00:00+01:00","venue":"Workshop 1","event":{"type":"workshop","title":"Pop Up Cafe","speaker":"Nottinghack Village","pronouns":"","description":"Nottinghack are putting on a Pop-Up Cafe at 9AM each day for some early freshly made coffee, tea or other drinks, sweets or snacks served from our Snackspace in Workshop Tent 1. Prices are £1 per item. We'll continue serving all day from the Gazebo attached to Workshop 1.","link":"https://www.emfcamp.org/schedule/2022/405-pop-up-cafe"}}]
Fri, 03 Jun 2022 09:50:00 +0100 | emfcamp/timely_schedule | [{"start":"2022-06-03T10:00:00+01:00","venue":"Blacksmiths","event":{"type":"workshop","title":"Blacksmithing - Have a go","speaker":"Blacksmiths","pronouns":null,"description":"Have a go at blacksmithing\r\n\r\n16+, 13 -16 with a Parent/Guardian on same course, 11 – 13 with an instructor","link":"https://www.emfcamp.org/schedule/2022/478-blacksmithing-have-a-go"}}]
Fri, 03 Jun 2022 10:05:00 +0100 | emfcamp/timely_schedule | [{"start":"2022-06-03T10:15:00+01:00","venue":"Stage A","event":{"type":"talk","title":"Opening Ceremony","speaker":"EMF Team","pronouns":"","description":"The ceremony in which we open the event","link":"https://www.emfcamp.org/schedule/2022/292-opening-ceremony"}}]
Fri, 03 Jun 2022 10:20:00 +0100 | emfcamp/timely_schedule | [{"start":"2022-06-03T10:30:00+01:00","venue":"Blacksmiths","event":{"type":"workshop","title":"Blacksmithing - Have a go","speaker":"Blacksmiths","pronouns":null,"description":"Have a go at blacksmithing\r\n\r\n16+, 13 -16 with a Parent/Guardian on same course, 11 – 13 with an instructor","link":"https://www.emfcamp.org/schedule/2022/479-blacksmithing-have-a-go"}}]
Fri, 03 Jun 2022 10:50:00 +0100 | emfcamp/timely_schedule | [{"start":"2022-06-03T11:00:00+01:00","venue":"Stage A","event":{"type":"talk","title":"A brief history of Time Zones and Daylight Saving Time","speaker":"John Dalziel","pronouns":"he/him","description":"Spring Forward, Fall Back... but why? Take a trip from Railway Time to the Olson database, as we explore the strange history of Time Zones and Daylight Saving Time.","link":"https://www.emfcamp.org/schedule/2022/139-a-brief-history-of-time-zones-and-daylight-saving-time"}},{"start":"2022-06-03T11:00:00+01:00","venue":"Stage B","event":{"type":"talk","title":"Using computers to cheat at maths","speaker":"Damian Bevan","pronouns":null,"description":"Mathematicians of yesteryear, with limited access to computing, solved difficult problems by a combination of genius, vivid imaginations and hard work.\r\n\r\nIn those days, human 'computers' were used to calculate and tabulate the solutions to maths problems ranging from trigs and logs, to astronomical, nautical, banking and insurance information etc. However, those human computing processes were laborious (thus expensive), and error-prone. The invention of mechanical and electrical computing devices in the 19th and 20th centuries by pioneers such as Charles Babbage, Ada Lovelace and Alan Turing allowed such problems to be solved both more cheaply and more reliably. Nowadays, computers are immensely more powerful than they were in either Babbage’s or Turing’s time. We will describe a few mathematical problems that computers can solve, and present some of the key techniques, such as step-by-step iteration, recursion and Monte-Carlo simulation. We touch upon some modern computing tools, such as calculators, spreadsheets, programming languages etc. These tools are the present-day equivalents of Babbage’s and Turing’s machines, and are available to us all (often for free) in order to solve our everyday mathematical problems in work and in life. We end the talk by briefly speculating upon whether computing has anything to say about the nature of our lives and of the universe itself.\r\n","link":"https://www.emfcamp.org/schedule/2022/102-using-computers-to-cheat-at-maths"}},{"start":"2022-06-03T11:00:00+01:00","venue":"Stage C","event":{"type":"talk","title":"2500 nerds, one pathetic robot","speaker":"Chris Stubbs & Dom Tag","pronouns":"","description":"The technical trials and tribulations of trying to allow 2500 nerds to remotely drive a pathetically inadequate robot around a field. \r\nWe cover all the do’s and don’ts of creating an adorable yet woefully inadequate rover. \r\nWe’ll then talk about how we addressed the issues and built a new version. \r\nAdditionally, covering how we made the new one actually fit a person inside it (Hacky Races). \r\nFinishing up with a live demo!","link":"https://www.emfcamp.org/schedule/2022/63-2500-nerds-one-pathetic-robot"}},{"start":"2022-06-03T11:00:00+01:00","venue":"Workshop 1","event":{"type":"workshop","title":"Badge Soldering Workshop @Nottinghack","speaker":"Nottinghack Village","pronouns":"","description":"Badge making using badge kits and soldering irons, simple little kits for adults and children to learn basic soldering. Children should be accompanied by a parent. There is a small cost to buy the kits themselves (cards accepted).","link":"https://www.emfcamp.org/schedule/2022/417-badge-soldering-workshop-nottinghack"}},{"start":"2022-06-03T11:00:00+01:00","venue":"Youth Workshop","event":{"type":"youth_workshop","title":"A Model EMF","speaker":"Kate Davis","pronouns":"","description":"Come and make yourselves, your village or your favourite part of EMF Camp out of clay to create a miniature Electromagnetic Field. We hope to grow our model EMF throughout the weekend and then you are welcome to take home your creations if you would like to. ","link":"https://www.emfcamp.org/schedule/2022/381-a-model-emf"}}]
Fri, 03 Jun 2022 11:20:00 +0100 | emfcamp/timely_schedule | [{"start":"2022-06-03T11:30:00+01:00","venue":"Stage C","event":{"type":"talk","title":"The Aragoscope: optics without lenses or mirrors","speaker":"Simon Jelley","pronouns":"He/him","description":"Imaging sub-millimeter features from 250m away using only a hard disc as a lens. The Aragosope is a simple diffractive telescope achieving high resolution imaging without mirrors or lenses. NASA funded an exploration of the concept for a giant space telescope back in 2014, but when I set out to make a practical experiment in 2018 there was only one other example I could find on the internet. \r\nI will give an introduction to what diffraction is, how it can be used in optics to do useful things like form images, why NASA might be interested, and how I made the experimental setup. I will also perform a live demonstration during the talk of both a simple aragoscope setup and some other diffractive optics (including rainbow chocolate, holograms and a camera that uses 35mm film as the lens! After the talk (and more importantly after dark!) I will also replicate a full demonstration of my Aragoscope experiment if weather allows.","link":"https://www.emfcamp.org/schedule/2022/288-the-aragoscope-optics-without-lenses-or-mirrors"}},{"start":"2022-06-03T11:30:00+01:00","venue":"Workshop 5","event":{"type":"workshop","title":"Sew tech: a drop in workshop for help with sewing and fabric","speaker":"Claire Phillips","pronouns":"she/her","description":"Workshop for people to drop in and get help on sewing and textile related questions.\r\n\r\nWant to know how to make a hole in fabric without it fraying? Or how to make seams in fabric waterproof? Perhaps you need to know what a fabric is called so you can source more of it? Come and ask!\r\n\r\nPlease note that this is not a formal workshop with a an end goal: we'll be led by whatever projects you bring, and feel free to drop in/out. ","link":"https://www.emfcamp.org/schedule/2022/145-sew-tech-a-drop-in-workshop-for-help-with-sewing-and-fabric"}},{"start":"2022-06-03T11:30:00+01:00","venue":"AMSAT-UK","event":{"type":"talk","title":"Amateur Radio Satellite Operation Demonstration","speaker":"AMSAT-UK Team","pronouns":null,"description":"A practical demonstration of communication through low earth orbit amateur radio satellites","link":"https://www.emfcamp.org/schedule/2022/459-amateur-radio-satellite-operation-demonstration"}}]
Fri, 03 Jun 2022 11:30:00 +0100 | emfcamp/timely_schedule | [{"start":"2022-06-03T11:40:00+01:00","venue":"Stage A","event":{"type":"talk","title":"How to get money from fruit machines with and without cheating.","speaker":"Tony Goacher","pronouns":"he","description":"Over the years thieves have used many different ways of getting cash out of fruit machines. This talk examines the methods and how machine manufacturers have adapted to prevent attacks. \r\n\r\nAlso discussed are manufacturer software issues and oversights that have resulted in huge losses for the machine operators.","link":"https://www.emfcamp.org/schedule/2022/43-how-to-get-money-from-fruit-machines-with-and"}},{"start":"2022-06-03T11:40:00+01:00","venue":"Stage B","event":{"type":"talk","title":"Fill Your Home with Obsolete Technology: Rare Book Collecting 101","speaker":"Laura Massey","pronouns":"she/her","description":"Many people believe that books are becoming obsolete, and that rare book libraries have little to contribute to modern society. Others love books, but may not consider themselves \"real collectors\" because they don't fit the image presented in popular culture. \r\n\r\nIn this talk I'll go beyond the typical arguments for books (\"they smell good\", \"they're pleasurable to handle\") and discuss the more complex reasons old books matter, primarily how collecting them can inform scholarship and change the way we see the world. I’ll present examples of real book collections that ask and answer important social and historical questions; challenge the idea that book collecting is only for wealthy people who want to acquire status symbols; and provide practical advice on how to go from book buyer to book collector.","link":"https://www.emfcamp.org/schedule/2022/107-fill-your-home-with-obsolete-technology"}}]
